Username,Password,Account,ProfileId,ClientReferenceId,GivenName,MiddleName,FamilyName,MaidenName,GovernmentId(SSN),DateOfBirth,Gender,GovernmentId(DMV),State,ValidTo,ContactEmailAddress,ContactPhoneNumber,CurrentAddressCountry,CurrentAddressLine1,CurrentAddressLine2,CurrentAddressMunicipality,CurrentAddressRegion,CurrentAddressPostalCode,UDF1,UDF2,UDF3,ERRDES
,,,bfjnvd4,885962,Middle nm invalid,123test,Invalid three,,895850018,1/14/1987,M,485985628,CO,,Anand.Unnikrishnan@sterlingts.com,8108109516,USA,2368 La Granada drive,,Thousand oaks,CA,91362,A,B,C,Middle name must consist only of letters spaces hyphens and apostrophes.
,,,bfjnvd4,885963,Middle nm invalid,!@#$%^&*()_+  test,Invalid four,,895850019,1/15/1987,F,485985628,CO,,Anand.Unnikrishnan@sterlingts.com,8108109517,USA,10600 Wilshire Blvd.,,Los Angeles,CA,90024,A,B,C,Middle name must consist only of letters spaces hyphens and apostrophes.
,,,bfjnvd4,885964,Family nm blank,,,,895850024,1/20/1987,u,485985628,CO,,Anand.Unnikrishnan@sterlingts.com,8108109522,USA,6904 Bartlett Rd,,Louisville,KY,40218,A,B,C,Family name must have a value.
,,,bfjnvd4,885965,Family nm more thn forty,,morethanfortycharactersqwertyugdfhsgghuth,,895850025,1/21/1987,,485985628,CO,,Anand.Unnikrishnan@sterlingts.com,8108109523,USA,282 County Line Road,,Bridgeville,PA,15017,A,B,C,Family name must not exceed 40 characters.
,,,bfjnvd4,885966,Family nm invalid,test,123test,,895850026,1/22/1987,Male,485985628,CO,,Anand.Unnikrishnan@sterlingts.com,8108109524,USA,241 Avocado St,30,Costa Mesa,CA,92627,A,B,C,Family name must consist only of letters spaces hyphens and apostrophes.
,,,bfjnvd4,885967,Family nm invalid,,!@#$%^&*()_+  test,,895850027,1/23/1987,Female,485985628,CO,,Anand.Unnikrishnan@sterlingts.com,8108109525,USA,1983 Tanglewood dr,,snellville,GA,30078,A,B,C,Family name must consist only of letters spaces hyphens and apostrophes.
,,,bfjnvd4,885968,SSN test req Invalid,level three,ssn blank,,,1/28/1987,M,485985628,CO,,Anand.Unnikrishnan@sterlingts.com,8108109530,USA,11385 sw Erste pl,,Tigard,OR,97223,A,B,C,GovernmentId(SSN) must have a value.
,,,uein30g,885969,SSN test req Invalid,lone ssn,ssn blank,,,1/29/1987,F,485985628,CO,,Anand.Unnikrishnan@sterlingts.com,8108109531,USA,1066 Donaldson Way,,American Canyon,CA,94503,A,B,C,GovernmentId(SSN) must have a value.
,,,bja924j,885970,SSN test req Invalid,ltwo ssn,ssn blank,,,1/30/1987,F,485985628,CO,,Anand.Unnikrishnan@sterlingts.com,8108109532,USA,1796 Fairgrounds Road,,Central City,NE,68826,A,B,C,GovernmentId(SSN) must have a value.
,,,bfjnvd4,885971,SSN test req Invalid,level three,ssn more than nine,,4859856201,2/6/1987,Female,485985628,CO,,Anand.Unnikrishnan@sterlingts.com,8108109539,USA,2605 Wheatland Drive,,Norman,OK,73071,A,B,C,GovernmentId(SSN) must not exceed 9 characters and consist of only numbers
,,,uein30g,885972,SSN test req Invalid,lone ssn,ssn more than nine,,89562562369,2/7/1987,U,485985628,CO,,Anand.Unnikrishnan@sterlingts.com,8108109540,USA,2509 Livingston Ln.,,Grand Prairie,TX,75052,A,B,C,GovernmentId(SSN) must not exceed 9 characters and consist of only numbers
,,,bja924j,885973,SSN test req Invalid,ltwo ssn,ssn more than nine,,4859856201,2/8/1987,m,485985628,CO,,Anand.Unnikrishnan@sterlingts.com,8108109541,USA,216 Old Farm Lane,,Irmo,SC,29063,A,B,C,GovernmentId(SSN) must not exceed 9 characters and consist of only numbers
,,,fz3xi40,885974,SSN test req Invalid,lone locator,ssn more than nine,,4859856201,2/9/1987,f,485985628,CO,,Anand.Unnikrishnan@sterlingts.com,8108109542,USA,1919 Sage Grouse Lane,,Colorado Springs,CO,80951,A,B,C,GovernmentId(SSN) must not exceed 9 characters and consist of only numbers
,,,tak9ct1,885975,SSN test req Invalid,ltwo locator,ssn more than nine,,89562562369,2/10/1987,u,485985628,CO,,Anand.Unnikrishnan@sterlingts.com,8108109543,USA,44058 Countryside Dr.,,Lancaster,CA,93536,A,B,C,GovernmentId(SSN) must not exceed 9 characters and consist of only numbers
,,,xqdxsti,885976,SSN test req Invalid,lthree ssn,ssn more than nine,,4859856201,2/11/1987,M,485985628,CO,,Anand.Unnikrishnan@sterlingts.com,8108109544,USA,14 McLean,,Irvine,CA,92620,A,B,C,GovernmentId(SSN) must not exceed 9 characters and consist of only numbers
,,,uein30g,885977,SSN test req Invalid,lone ssn locator mvr oig ,ssn more than nine,,89562562369,2/12/1987,F,485985628,CO,,Anand.Unnikrishnan@sterlingts.com,8108109545,USA,2465 Encinal Dr.,,Walnut Creek,CA,94597,A,B,C,GovernmentId(SSN) must not exceed 9 characters and consist of only numbers
,,,yucbj0y,885978,SSN test req Invalid,ltwo ssn locator mvr oig ,ssn more than nine,,4859856201,2/13/1987,F,485985628,CO,,Anand.Unnikrishnan@sterlingts.com,8108109546,USA,PO Box 16246,,Denver,CO,80216,A,B,C,GovernmentId(SSN) must not exceed 9 characters and consist of only numbers
,,,swu36g7,885979,SSN test req Invalid,level one,ssn more than nine,,4859856201,2/14/1987,U,485985628,CO,,Anand.Unnikrishnan@sterlingts.com,8108109547,USA,1 Montour St,,Danville,PA,17821,A,B,C,GovernmentId(SSN) must not exceed 9 characters and consist of only numbers
,,,fvczo8h,885980,SSN test req Invalid,level two,ssn more than nine,,4859856201,2/15/1987,m,485985628,CO,,Anand.Unnikrishnan@sterlingts.com,8108109548,USA,350 Bernardsville Road,,Mendham,NJ,7945,A,B,C,GovernmentId(SSN) must not exceed 9 characters and consist of only numbers;Current Address Postal Code must consist of exactly 5 characters.;Current Address Postal Code must consist of exactly 5 numbers and cannot be 00000.
,,,cdk9jtu,885981,SSN test req Invalid,level one mvr oig ,ssn more than nine,,89562562369,2/16/1987,f,485985628,CO,,Anand.Unnikrishnan@sterlingts.com,8108109549,USA,495 Pennsylvania Ave #3,,brooklyn,NY,11207,A,B,C,GovernmentId(SSN) must not exceed 9 characters and consist of only numbers
,,,gtdxztb,885982,SSN test req Invalid,level two mvr oig ,ssn more than nine,,4859856201,2/17/1987,u,485985628,CO,,Anand.Unnikrishnan@sterlingts.com,8108109550,USA,1234 S Westgate Avenue,Apt 6,Los Angeles,CA,90025,A,B,C,GovernmentId(SSN) must not exceed 9 characters and consist of only numbers
,,,b9lwbco,885983,SSN test req Invalid,only MVR,ssn more than nine,,4859856201,2/18/1987,,485985628,CO,,Anand.Unnikrishnan@sterlingts.com,8108109551,USA,2718 SE 153rd Ave,,Portland,OR,97236,A,B,C,GovernmentId(SSN) must not exceed 9 characters and consist of only numbers
,,,bfjnvd4,885984,SSN test req Invalid,level three,ssn less than nine,,25890000,2/19/1987,Male,485985628,CO,,Anand.Unnikrishnan@sterlingts.com,8108109552,USA,1704 Oak St,,Otsego,MI,49078,A,B,C,GovernmentId(SSN) must not exceed 9 characters and consist of only numbers
,,,uein30g,885985,SSN test req Invalid,lone ssn,ssn less than nine,,258900,2/20/1987,Female,485985628,CO,,Anand.Unnikrishnan@sterlingts.com,8108109553,USA,585 W Iowa Ave,#11,Sunnyvale,CA,94086,A,B,C,GovernmentId(SSN) must not exceed 9 characters and consist of only numbers
,,,bja924j,885986,SSN test req Invalid,ltwo ssn,ssn less than nine,,25000,2/21/1987,U,485985628,CO,,Anand.Unnikrishnan@sterlingts.com,8108109554,USA,7140 Medicine Bow Ave,,Fountain,CO,80817,A,B,C,GovernmentId(SSN) must not exceed 9 characters and consist of only numbers
,,,fz3xi40,885987,SSN test req Invalid,lone locator,ssn less than nine,,2589000,2/22/1987,m,485985628,CO,,Anand.Unnikrishnan@sterlingts.com,8108109555,USA,2811 St. Maria Drive,,Mansfield,TX,76063,A,B,C,GovernmentId(SSN) must not exceed 9 characters and consist of only numbers
,,,tak9ct1,885988,SSN test req Invalid,ltwo locator,ssn less than nine,,5,2/23/1987,f,485985628,CO,,Anand.Unnikrishnan@sterlingts.com,8108109556,USA,143 Kelly Drivers Lane,,Clementon,NJ,80201,A,B,C,GovernmentId(SSN) must not exceed 9 characters and consist of only numbers
,,,xqdxsti,885989,SSN test req Invalid,lthree ssn,ssn less than nine,,258900,2/24/1987,u,485985628,CO,,Anand.Unnikrishnan@sterlingts.com,8108109557,USA,18 Ridings Way,,Chadds Ford,PA,19317,A,B,C,GovernmentId(SSN) must not exceed 9 characters and consist of only numbers
,,,uein30g,885990,SSN test req Invalid,lone ssn locator mvr oig ,ssn less than nine,,25000,2/25/1987,M,485985628,CO,,Anand.Unnikrishnan@sterlingts.com,8108109558,USA,1824B Wards Ferry Road,,Lynchburg,VA,24502,A,B,C,GovernmentId(SSN) must not exceed 9 characters and consist of only numbers
,,,yucbj0y,885991,SSN test req Invalid,ltwo ssn locator mvr oig ,ssn less than nine,,2589000,2/26/1987,F,485985628,CO,,Anand.Unnikrishnan@sterlingts.com,8108109559,USA,11 Asheville Springs Circle,,Asheville,NC,28806,A,B,C,GovernmentId(SSN) must not exceed 9 characters and consist of only numbers
,,,swu36g7,885992,SSN test req Invalid,level one,ssn less than nine,,5,2/27/1987,F,485985628,CO,,Anand.Unnikrishnan@sterlingts.com,8108109560,USA,1709 Hickory Tree Rd,,Balch Springs,TX,75180,A,B,C,GovernmentId(SSN) must not exceed 9 characters and consist of only numbers
,,,fvczo8h,885993,SSN test req Invalid,level two,ssn less than nine,,258900,2/28/1987,U,485985628,CO,,Anand.Unnikrishnan@sterlingts.com,8108109561,USA,164 Stratton Lane,,Mount Laurel,NJ,80504,A,B,C,GovernmentId(SSN) must not exceed 9 characters and consist of only numbers
,,,cdk9jtu,885994,SSN test req Invalid,level one mvr oig ,ssn less than nine,,25000,3/1/1987,m,485985628,CO,,Anand.Unnikrishnan@sterlingts.com,8108109562,USA,614 Grand Ave,Apt D,Saint Paul,MN,55102,A,B,C,GovernmentId(SSN) must not exceed 9 characters and consist of only numbers
,,,gtdxztb,885995,SSN test req Invalid,level two mvr oig ,ssn less than nine,,2589000,3/2/1987,f,485985628,CO,,Anand.Unnikrishnan@sterlingts.com,8108109563,USA,116 Southeast Trace,,Williamsburg,VA,23188,A,B,C,GovernmentId(SSN) must not exceed 9 characters and consist of only numbers
,,,b9lwbco,885996,SSN test req Invalid,only MVR,ssn less than nine,,5,3/3/1987,u,485985628,CO,,Anand.Unnikrishnan@sterlingts.com,8108109564,USA,563 Greenside,,Baird,TX,79504,A,B,C,GovernmentId(SSN) must not exceed 9 characters and consist of only numbers
,,,bfjnvd4,885997,SSN test req Invalid,level three,ssn not number,,5685dghy^,3/4/1987,,485985628,CO,,Anand.Unnikrishnan@sterlingts.com,8108109565,USA,9 Stoneham Road,,Collegeville,PA,19426,A,B,C,GovernmentId(SSN) must not exceed 9 characters and consist of only numbers
,,,uein30g,885998,SSN test req Invalid,lone ssn,ssn not number,,5685dghy^,3/5/1987,Male,485985628,CO,,Anand.Unnikrishnan@sterlingts.com,8108109566,USA,4523 Mitchell Street,,Philadelphia,PA,19128,A,B,C,GovernmentId(SSN) must not exceed 9 characters and consist of only numbers
,,,bja924j,885999,SSN test req Invalid,ltwo ssn,ssn not number,,test45%h,3/6/1987,Female,485985628,CO,,Anand.Unnikrishnan@sterlingts.com,8108109567,USA,630 Kreamer Ave,,Lewisburg,PA,17837,A,B,C,GovernmentId(SSN) must not exceed 9 characters and consist of only numbers
,,,fz3xi40,886000,SSN test req Invalid,lone locator,ssn not number,,test ghy,3/7/1987,U,485985628,CO,,Anand.Unnikrishnan@sterlingts.com,8108109568,USA,109 Schoolhouse Dr,,Milford,PA,18337,A,B,C,GovernmentId(SSN) must not exceed 9 characters and consist of only numbers
,,,tak9ct1,886001,SSN test req Invalid,ltwo locator,ssn not number,,t56bhyuji,3/8/1987,m,485985628,CO,,Anand.Unnikrishnan@sterlingts.com,8108109569,USA,630 Kreamer Ave,,Lewisburg,PA,17837,A,B,C,GovernmentId(SSN) must not exceed 9 characters and consist of only numbers
,,,xqdxsti,886002,SSN test req Invalid,lthree ssn,ssn not number,,5685dghy^,3/9/1987,f,485985628,CO,,Anand.Unnikrishnan@sterlingts.com,8108109570,USA,651 Washington Avenue Apt # 5R,,Brooklyn,NY,11238,A,B,C,GovernmentId(SSN) must not exceed 9 characters and consist of only numbers
,,,uein30g,886003,SSN test req Invalid,lone ssn locator mvr oig ,ssn not number,,5685dghy^,3/10/1987,u,485985628,CO,,Anand.Unnikrishnan@sterlingts.com,8108109571,USA,118 Ashbrook Trl,,Farmersville,OH,45325,A,B,C,GovernmentId(SSN) must not exceed 9 characters and consist of only numbers
,,,yucbj0y,886004,SSN test req Invalid,ltwo ssn locator mvr oig ,ssn not number,,test45%h,3/11/1987,M,485985628,CO,,Anand.Unnikrishnan@sterlingts.com,8108109572,USA,4002 Bay Hill Drive,,Abilene,TX,79606,A,B,C,GovernmentId(SSN) must not exceed 9 characters and consist of only numbers
,,,swu36g7,886005,SSN test req Invalid,level one,ssn not number,,test ghy,3/12/1987,F,485985628,CO,,Anand.Unnikrishnan@sterlingts.com,8108109573,USA,114 S Oxford Ave,Apt 310,Los Angeles,CA,90004,A,B,C,GovernmentId(SSN) must not exceed 9 characters and consist of only numbers
,,,fvczo8h,886006,SSN test req Invalid,level two,ssn not number,,t56bhyuji,3/13/1987,F,485985628,CO,,Anand.Unnikrishnan@sterlingts.com,8108109574,USA,7605 Malamute Dr,,Evergreen,CO,80439,A,B,C,GovernmentId(SSN) must not exceed 9 characters and consist of only numbers
,,,cdk9jtu,886007,SSN test req Invalid,level one mvr oig ,ssn not number,,5685dghy^,3/14/1987,U,485985628,CO,,Anand.Unnikrishnan@sterlingts.com,8108109575,USA,1121 Dorset Drive,,West Chester,PA,19382,A,B,C,GovernmentId(SSN) must not exceed 9 characters and consist of only numbers
,,,gtdxztb,886008,SSN test req Invalid,level two mvr oig ,ssn not number,,5685dghy^,3/15/1987,m,485985628,CO,,Anand.Unnikrishnan@sterlingts.com,8108109576,USA,761 Swallow Tail Lane,,Breinigsville,PA,18031,A,B,C,GovernmentId(SSN) must not exceed 9 characters and consist of only numbers
,,,b9lwbco,886009,SSN test req Invalid,only MVR,ssn not number,,test45%h,3/16/1987,f,485985628,CO,,Anand.Unnikrishnan@sterlingts.com,8108109577,USA,429 Bellflower Road,,Langhorne,PA,19047,A,B,C,GovernmentId(SSN) must not exceed 9 characters and consist of only numbers
,,,bfjnvd4,886010,SSN test req Invalid,level three,ssn all zero,,0,3/17/1987,u,485985628,CO,,Anand.Unnikrishnan@sterlingts.com,8108109578,USA,1810 McCay Ave.,,Boothwyn,PA,19061,A,B,C,GovernmentId(SSN) must not exceed 9 characters and consist of only numbers
,,,uein30g,886011,SSN test req Invalid,lone ssn,ssn all zero,,0,3/18/1987,,485985628,CO,,Anand.Unnikrishnan@sterlingts.com,8108109579,USA,1202 Central Parkway,,Deland,FL,32724,A,B,C,GovernmentId(SSN) must not exceed 9 characters and consist of only numbers
,,,bja924j,886012,SSN test req Invalid,ltwo ssn,ssn all zero,,0,3/19/1987,Male,485985628,CO,,Anand.Unnikrishnan@sterlingts.com,8108109580,USA,5818 jackson st,,phila,PA,19135,A,B,C,GovernmentId(SSN) must not exceed 9 characters and consist of only numbers
,,,fz3xi40,886013,SSN test req Invalid,lone locator,ssn all zero,,0,3/20/1987,Female,485985628,CO,,Anand.Unnikrishnan@sterlingts.com,8108109581,USA,3125 edgemont st,,phila,PA,19134,A,B,C,GovernmentId(SSN) must not exceed 9 characters and consist of only numbers
,,,tak9ct1,886014,SSN test req Invalid,ltwo locator,ssn all zero,,0,3/21/1987,U,485985628,CO,,Anand.Unnikrishnan@sterlingts.com,8108109582,USA,259 S Chocolay Ave,,Clawson,MI,48017,A,B,C,GovernmentId(SSN) must not exceed 9 characters and consist of only numbers
,,,xqdxsti,886015,SSN test req Invalid,lthree ssn,ssn all zero,,0,3/22/1987,m,485985628,CO,,Anand.Unnikrishnan@sterlingts.com,8108109583,USA,5920 Oxford st # 5,,Minneapolis,MN,55416,A,B,C,GovernmentId(SSN) must not exceed 9 characters and consist of only numbers
,,,uein30g,886016,SSN test req Invalid,lone ssn locator mvr oig ,ssn all zero,,0,3/23/1987,f,485985628,CO,,Anand.Unnikrishnan@sterlingts.com,8108109584,USA,742 Bush Place,,Paramus,NJ,76052,A,B,C,GovernmentId(SSN) must not exceed 9 characters and consist of only numbers
,,,yucbj0y,886017,SSN test req Invalid,ltwo ssn locator mvr oig ,ssn all zero,,0,3/24/1987,u,485985628,CO,,Anand.Unnikrishnan@sterlingts.com,8108109585,USA,2054 Lovoy Ct,,North Port,FL,34288,A,B,C,GovernmentId(SSN) must not exceed 9 characters and consist of only numbers
,,,swu36g7,886018,SSN test req Invalid,level one,ssn all zero,,0,3/25/1987,M,485985628,CO,,Anand.Unnikrishnan@sterlingts.com,8108109586,USA,1235 Darlene Court,,Redlands,CA,92374,A,B,C,GovernmentId(SSN) must not exceed 9 characters and consist of only numbers
,,,fvczo8h,886019,SSN test req Invalid,level two,ssn all zero,,0,3/26/1987,F,485985628,CO,,Anand.Unnikrishnan@sterlingts.com,8108109587,USA,14 Boatworks Drive,,Bayonne,NJ,7002,A,B,C,GovernmentId(SSN) must not exceed 9 characters and consist of only numbers;Current Address Postal Code must consist of exactly 5 characters.;Current Address Postal Code must consist of exactly 5 numbers and cannot be 00000.
,,,cdk9jtu,886020,SSN test req Invalid,level one mvr oig ,ssn all zero,,0,3/27/1987,F,485985628,CO,,Anand.Unnikrishnan@sterlingts.com,8108109588,USA,10069 Keystone Ct,,Alta Loma,CA,91737,A,B,C,GovernmentId(SSN) must not exceed 9 characters and consist of only numbers
,,,gtdxztb,886021,SSN test req Invalid,level two mvr oig ,ssn all zero,,0,3/28/1987,U,485985628,CO,,Anand.Unnikrishnan@sterlingts.com,8108109589,USA,1003 Clarence Woodis Rd,,Madisonville,KY,42431,A,B,C,GovernmentId(SSN) must not exceed 9 characters and consist of only numbers
,,,b9lwbco,886022,SSN test req Invalid,only MVR,ssn all zero,,0,3/29/1987,m,485985628,CO,,Anand.Unnikrishnan@sterlingts.com,8108109590,USA,502 W Myrtle St. #207,,Fort Collins,CO,80521,A,B,C,GovernmentId(SSN) must not exceed 9 characters and consist of only numbers
,,,bfjnvd4,886023,SSN test req Invalid,level three,ssn all nine,,999999999,3/30/1987,f,485985628,CO,,Anand.Unnikrishnan@sterlingts.com,8108109591,USA,1736 Staysail Dr,,Valrico,FL,33594,A,B,C,GovernmentId(SSN) must not exceed 9 characters and consist of only numbers
,,,uein30g,886024,SSN test req Invalid,lone ssn,ssn all nine,,999999999,3/31/1987,u,485985628,CO,,Anand.Unnikrishnan@sterlingts.com,8108109592,USA,3683 Springdale Drive,,Little River,SC,29566,A,B,C,GovernmentId(SSN) must not exceed 9 characters and consist of only numbers
,,,bja924j,886025,SSN test req Invalid,ltwo ssn,ssn all nine,,999999999,4/1/1987,,485985628,CO,,Anand.Unnikrishnan@sterlingts.com,8108109593,USA,5220 Swadley Street,,Wheat Ridge,CO,80033,A,B,C,GovernmentId(SSN) must not exceed 9 characters and consist of only numbers
,,,fz3xi40,886026,SSN test req Invalid,lone locator,ssn all nine,,999999999,4/2/1987,Male,485985628,CO,,Anand.Unnikrishnan@sterlingts.com,8108109594,USA,116 Crompton Rd,,Waynesboro,VA,22980,A,B,C,GovernmentId(SSN) must not exceed 9 characters and consist of only numbers
,,,tak9ct1,886027,SSN test req Invalid,ltwo locator,ssn all nine,,999999999,4/3/1987,Female,485985628,CO,,Anand.Unnikrishnan@sterlingts.com,8108109595,USA,PSC 809 Box 2543,,FPO,VA,22980,A,B,C,GovernmentId(SSN) must not exceed 9 characters and consist of only numbers
,,,xqdxsti,886028,SSN test req Invalid,lthree ssn,ssn all nine,,999999999,4/4/1987,U,485985628,CO,,Anand.Unnikrishnan@sterlingts.com,8108109596,USA,6419 Bequette avenue,,Pico Rivera,CA,90660,A,B,C,GovernmentId(SSN) must not exceed 9 characters and consist of only numbers
,,,uein30g,886029,SSN test req Invalid,lone ssn locator mvr oig ,ssn all nine,,999999999,4/5/1987,m,485985628,CO,,Anand.Unnikrishnan@sterlingts.com,8108109597,USA,2526 2nd ave.,,palm bay,FL,32905,A,B,C,GovernmentId(SSN) must not exceed 9 characters and consist of only numbers
,,,yucbj0y,886030,SSN test req Invalid,ltwo ssn locator mvr oig ,ssn all nine,,999999999,4/6/1987,f,485985628,CO,,Anand.Unnikrishnan@sterlingts.com,8108109598,USA,1649 Sunrise Lane,,Fullerton,CA,92833,A,B,C,GovernmentId(SSN) must not exceed 9 characters and consist of only numbers
,,,swu36g7,886031,SSN test req Invalid,level one,ssn all nine,,999999999,4/7/1987,u,485985628,CO,,Anand.Unnikrishnan@sterlingts.com,8108109599,USA,5220 Swadley St,,Wheat Ridge,CO,80033,A,B,C,GovernmentId(SSN) must not exceed 9 characters and consist of only numbers
,,,fvczo8h,886032,SSN test req Invalid,level two,ssn all nine,,999999999,4/8/1987,M,485985628,CO,,Anand.Unnikrishnan@sterlingts.com,8108109600,USA,10069 Keystone Ct,,Alta Loma,CA,91737,A,B,C,GovernmentId(SSN) must not exceed 9 characters and consist of only numbers
,,,cdk9jtu,886033,SSN test req Invalid,level one mvr oig ,ssn all nine,,999999999,4/9/1987,F,485985628,CO,,Anand.Unnikrishnan@sterlingts.com,8108109601,USA,3504 NE `69th AVE,,Vancouver,WA,98682,A,B,C,GovernmentId(SSN) must not exceed 9 characters and consist of only numbers
,,,gtdxztb,886034,SSN test req Invalid,level two mvr oig ,ssn all nine,,999999999,4/10/1987,F,485985628,CO,,Anand.Unnikrishnan@sterlingts.com,8108109602,USA,7353 Ellena West,Unit 203,Rancho Cucamonga,CA,91730,A,B,C,GovernmentId(SSN) must not exceed 9 characters and consist of only numbers
,,,b9lwbco,886035,SSN test req Invalid,only MVR,ssn all nine,,999999999,4/11/1987,U,485985628,CO,,Anand.Unnikrishnan@sterlingts.com,8108109603,USA,401 forest ave,,lyndhurst,NJ,7071,A,B,C,GovernmentId(SSN) must not exceed 9 characters and consist of only numbers;Current Address Postal Code must consist of exactly 5 characters.;Current Address Postal Code must consist of exactly 5 numbers and cannot be 00000.
,,,,886036,DOBtest invalid,,dob blank,,656589569,,U,485985628,CO,,Anand.Unnikrishnan@sterlingts.com,8108109617,USA,169 Raintree Cir,,Jacksonville,NC,28540,A,B,C,Date of birth must have a value.
,,,,886037,DOB test invalid,,dob less than forteen,,656589570,8/1/2016,m,485985628,CO,,Anand.Unnikrishnan@sterlingts.com,8108109618,USA,12125 Noonan Ct,,Utica,MI,48315,A,B,C,Volunteer must be at least 14 years of age.
,,,,886038,DOBtest invalid,,dob invalidformat,,656589571,test,f,485985628,CO,,Anand.Unnikrishnan@sterlingts.com,8108109619,USA,2430 SE Park Ave,,Milwaukie,OR,97222,A,B,C,Date of birth: test is not in a valid date format. Ensure it is in one of the following formats: MM/dd/yyyy or M/d/yyyy
,,,,886039,DOBtest invalid,,dob mnincorrect,,656589572,13/05/1987,u,485985628,CO,,Anand.Unnikrishnan@sterlingts.com,8108109620,USA,1634 Rustic Hollow Ln,,Katy,TX,77450,A,B,C,Date of birth: 13/05/1987 is not in a valid date format. Ensure it is in one of the following formats: MM/dd/yyyy or M/d/yyyy
,,,b9lwbco,886040,DOBtest invalid,,dob ddincorrect,,656589573,12/32/1987,,485985628,CO,,Anand.Unnikrishnan@sterlingts.com,8108109621,USA,251 East 29th St. Apt. 1B,,Brooklyn,NY,11226,A,B,C,Date of birth: 12/32/1987 is not in a valid date format. Ensure it is in one of the following formats: MM/dd/yyyy or M/d/yyyy
,,,,886041,DOBtest invalid,,dob yearincorrect,,656589574,12/3/198,Male,485985628,CO,,Anand.Unnikrishnan@sterlingts.com,8108109622,USA,2239 Packard Avenue,,Huntingdon Valley,PA,19006,A,B,C,Date of birth: 12/3/198 is not in a valid date format. Ensure it is in one of the following formats: MM/dd/yyyy or M/d/yyyy
,,,,886042,Gender Invalid One,,other than m f u ,,656589578,4/22/1987,test,485985628,CO,,Anand.Unnikrishnan@sterlingts.com,8108109626,USA,6224 tapia drive,unit F,malibu,CA,90265,A,B,C,Gender must consist of only the characters M F and U or Male Female and Unknown.
,,,,886043,Gender Invalid two,,other than m f u ,,656589579,4/23/1987,Mal,485985628,CO,,Anand.Unnikrishnan@sterlingts.com,8108109627,USA,2828 Brookside Drive,,Chino Hills,CA,91709,A,B,C,Gender must consist of only the characters M F and U or Male Female and Unknown.
